0;0;0;0;land;false;hills;1
1;236;238;105;land;false;hills;1
2;197;115;191;land;true;plains;5
3;181;233;173;land;true;plains;3
4;252;192;205;land;false;mountain;7
5;195;188;158;land;false;plains;6
6;251;221;37;land;false;forest;1
7;191;185;130;land;false;mountain;3
8;186;153;183;land;false;mountain;1
9;196;206;189;land;false;mountain;1
10;240;212;218;land;false;mountain;5
11;247;173;83;land;true;plains;5
12;229;202;175;land;false;plains;5
13;229;220;135;land;false;plains;1
14;224;179;174;land;true;plains;1
15;238;254;174;land;false;mountain;1
16;137;136;249;land;false;mountain;5
17;163;215;229;land;false;hills;1
18;222;102;192;land;true;urban;1
19;193;225;137;land;false;hills;1
20;165;236;229;land;false;plains;1
21;243;190;108;land;false;hills;1
22;218;247;73;land;false;plains;1
23;177;182;142;land;false;plains;1
24;155;253;239;land;false;mountain;2
25;134;206;212;land;true;plains;6
26;159;141;204;land;false;mountain;4
27;125;246;131;land;false;mountain;3
28;113;241;253;land;false;plains;3
29;134;254;169;land;false;mountain;3
30;195;176;206;land;false;forest;1
31;235;177;227;land;false;mountain;3
32;215;132;190;land;false;plains;5
33;173;149;203;land;false;mountain;3
34;165;143;203;land;false;forest;1
35;191;164;205;land;false;plains;1
36;215;163;236;land;false;hills;1
37;166;99;246;land;false;mountain;7
38;152;213;209;land;false;hills;7
39;235;156;121;land;false;forest;1
40;169;245;88;land;false;mountain;1
41;191;216;193;land;false;plains;1
42;211;252;85;land;false;hills;1
43;107;237;160;land;true;plains;1
44;203;164;232;land;false;urban;5
45;215;197;130;land;false;mountain;1
46;153;214;218;land;false;mountain;7
47;155;186;235;land;false;forest;1
48;220;244;74;land;true;hills;4
49;254;188;218;land;false;hills;1
50;132;253;190;land;false;plains;1
51;77;246;235;land;false;mountain;1
52;212;156;163;land;true;plains;1
53;216;181;222;land;false;mountain;6
54;252;201;231;land;false;plains;7
55;219;125;216;land;false;forest;1
56;211;149;160;land;false;hills;1
57;140;208;195;land;true;plains;1
58;232;236;149;land;false;hills;1
59;201;249;162;land;false;plains;1
60;142;234;191;land;false;plains;6
61;182;115;205;land;false;mountain;3
62;206;136;231;land;false;plains;1
63;141;203;224;land;false;mountain;5
64;178;107;245;land;false;plains;1
65;164;231;127;land;false;mountain;1
66;174;218;140;land;false;plains;1
67;191;239;251;land;false;mountain;5
68;241;211;130;land;false;forest;1
69;229;158;242;land;false;plains;1
70;237;171;227;land;false;hills;1
71;182;246;218;land;true;plains;1
72;242;217;56;land;true;hills;3
73;202;191;235;land;false;plains;1
74;215;117;219;land;false;hills;5
75;232;199;102;land;true;plains;6
76;60;209;250;land;false;plains;1
77;181;186;183;land;false;mountain;1
78;252;150;195;land;false;mountain;1
79;230;82;204;land;true;hills;3
80;249;114;154;land;true;plains;1
81;176;107;238;land;false;plains;1
82;86;240;234;land;true;plains;7
83;171;223;189;land;false;mountain;5
84;227;196;85;land;false;mountain;5
85;246;196;249;land;false;mountain;2
86;213;129;201;land;false;mountain;3
87;203;238;178;land;true;urban;4
88;170;229;186;land;true;plains;7
89;253;172;152;land;true;plains;7
90;189;208;165;land;true;plains;1
91;212;223;250;land;false;hills;5
92;176;239;237;land;false;hills;1
93;253;140;239;land;false;mountain;3
94;59;219;242;land;false;hills;3
95;73;242;210;land;true;plains;4
96;157;145;210;land;false;mountain;3
97;245;246;13;land;false;plains;2
98;100;245;244;land;false;hills;5
99;249;72;202;land;false;plains;4
100;107;177;246;land;false;hills;1
101;236;216;212;land;false;hills;4
102;172;185;155;land;false;plains;2
103;106;246;228;land;false;mountain;6
104;214;214;241;land;false;plains;1
105;142;188;184;land;false;hills;5
106;176;99;239;land;false;hills;3
107;54;249;218;land;false;plains;1
108;221;73;243;land;false;plains;1
109;231;167;219;land;false;mountain;1
110;243;145;116;land;false;hills;6
