4;arms_factory;4382.00;9.88;2106.00;3.21;0
4;arms_factory;4440.00;14.75;2017.00;4.77;0
4;arms_factory;4334.00;10.30;2101.00;5.28;0
4;arms_factory;4380.00;10.90;2069.00;3.22;0
4;industrial_complex;4387.00;10.48;2021.00;5.88;0
4;industrial_complex;4326.00;10.28;2068.00;2.26;0
4;industrial_complex;4432.00;10.90;2076.00;0.11;0
4;industrial_complex;4435.00;10.85;2065.00;1.67;0
4;industrial_complex;4412.00;12.48;2024.00;5.79;0
4;industrial_complex;4463.00;10.73;2100.00;0.71;0
4;supply_node;4343.00;9.95;2060.00;1.36;0
4;supply_node;4323.00;10.95;2071.00;2.84;0
4;supply_node;4309.00;10.93;2012.00;5.77;0
4;supply_node;4400.00;12.32;2060.00;3.54;0
4;supply_node;4419.00;11.85;2086.00;1.67;0
4;supply_node;4435.00;11.98;2061.00;4.25;0
4;supply_node;4374.00;10.90;2041.00;3.84;0
4;supply_node;4374.00;9.85;2119.00;0.14;0
4;supply_node;4406.00;10.95;2028.00;4.56;0
4;supply_node;4374.00;11.45;1989.00;0.45;0
4;supply_node;4435.00;13.28;2031.00;4.49;0
4;supply_node;4453.00;11.78;2089.00;2.61;0
4;supply_node;4357.00;9.80;2012.00;5.20;0
4;supply_node;4346.00;10.70;2096.00;1.85;0
4;supply_node;4321.00;9.85;2034.00;3.26;0
4;supply_node;4371.00;9.70;2081.00;6.20;0
4;supply_node;4407.00;9.75;2123.00;3.57;0
4;supply_node;4400.00;9.82;2101.00;1.33;0
4;supply_node;4456.00;11.78;2063.00;2.80;0
4;supply_node;4348.00;9.70;2035.00;5.74;0
4;supply_node;4382.00;10.45;2013.00;2.04;0
4;supply_node;4309.00;11.23;1989.00;4.98;0
4;supply_node;4334.00;9.70;2009.00;1.63;0
4;bunker;4364.00;10.43;1994.00;2.92;0
4;bunker;4410.00;11.15;2044.00;5.58;0
4;bunker;4404.00;10.30;2075.00;1.96;0
4;bunker;4355.00;10.88;2093.00;4.98;0
4;bunker;4348.00;9.90;2002.00;4.63;0
4;bunker;4307.00;11.03;2005.00;0.41;0
4;bunker;4337.00;9.70;2035.00;4.54;0
4;bunker;4435.00;11.23;2049.00;0.92;0
4;bunker;4459.00;11.28;2082.00;0.92;0
4;bunker;4384.00;10.98;2001.00;3.59;0
4;bunker;4372.00;9.95;2113.00;6.25;0
4;bunker;4353.00;9.95;2050.00;5.65;0
4;bunker;4334.00;9.70;2023.00;4.70;0
4;bunker;4364.00;10.55;2045.00;4.10;0
4;bunker;4333.00;9.70;2012.00;0.48;0
4;bunker;4307.00;11.30;1999.00;6.16;0
4;bunker;4318.00;10.32;2076.00;5.21;0
4;bunker;4401.00;10.62;2087.00;1.59;0
4;bunker;4431.00;11.18;2079.00;3.15;0
4;bunker;4424.00;12.07;2027.00;0.99;0
4;bunker;4358.00;10.57;2073.00;3.66;0
4;bunker;4403.00;9.70;2131.00;0.04;0
4;bunker;4452.00;11.73;2055.00;1.60;0
4;anti_air_building;4364.00;9.80;2020.00;4.77;0
4;synthetic_refinery;4321.00;9.75;2032.00;0.04;0
4;fuel_silo;4355.00;9.90;2045.00;4.17;0
4;radar_station;4392.00;9.88;2133.00;1.78;0
4;rocket_site_spawn;4346.00;9.88;2057.00;3.21;0
2;arms_factory;4325.00;9.98;2164.00;3.21;0
2;arms_factory;4302.00;9.70;2125.00;1.16;0
2;arms_factory;4281.00;9.70;2178.00;5.28;0
2;supply_node;4336.00;10.75;2160.00;3.61;0
2;supply_node;4292.00;9.70;2185.00;5.77;0
2;supply_node;4311.00;9.73;2169.00;5.01;0
2;supply_node;4307.00;10.38;2138.00;3.84;0
2;supply_node;4274.00;9.73;2154.00;3.08;0
2;supply_node;4311.00;10.48;2114.00;1.85;0
2;naval_base_spawn;4286.00;9.70;2200.00;-2.61;8368
2;naval_base_spawn;4261.00;9.70;2152.00;-2.30;7004
2;bunker;4324.00;9.88;2172.00;3.52;0
2;bunker;4305.00;10.50;2134.00;4.98;0
2;bunker;4315.00;10.00;2195.00;4.03;0
2;bunker;4271.00;9.70;2169.00;5.14;0
2;bunker;4315.00;10.40;2121.00;4.19;0
2;bunker;4329.00;10.20;2156.00;3.59;0
2;coastal_bunker;4262.00;9.50;2157.00;-2.30;0
2;coastal_bunker;4281.00;9.70;2188.00;-2.61;0
2;anti_air_building;4333.00;9.95;2175.00;3.66;0
2;synthetic_refinery;4328.00;10.57;2132.00;1.60;0
2;fuel_silo;4287.00;9.70;2188.00;5.72;0
2;radar_station;4294.00;9.50;2205.00;1.85;0
3;arms_factory;4464.00;11.53;2032.00;5.28;0
3;arms_factory;4482.00;10.57;2047.00;0.20;0
